         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_interface.py:823(_matmat)
       64    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:584(dot)
        1    0.000    0.000    0.002    0.002 C:\Users\moham\AppData\Local\Temp\ipykernel_18824\1608379810.py:20(save_batch_to_db)
     11/5    0.000    0.000    0.002    0.000 <frozen os>:345(_walk)
       61    0.002    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1446(format_dict)
       64    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:904(__matmul__)
        1    0.000    0.000    0.002    0.002 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\umap_.py:1393(find_ab_params)
      122    0.001    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\utils.py:273(_is_ascii)
        1    0.000    0.000    0.002    0.002 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\pooling.py:1454(forward)
        1    0.000    0.000    0.002    0.002 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\functional.py:1370(adaptive_avg_pool2d)
        9    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:347(tocsr)
     3923    0.002    0.000    0.002    0.000 {built-in method unicodedata.east_asian_width}
      266    0.001    0.000    0.002    0.000 Z:\Python311\Lib\threading.py:1125(_wait_for_tstate_lock)
        1    0.000    0.000    0.002    0.002 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\optimize\_minpack_py.py:590(curve_fit)
        1    0.002    0.002    0.002    0.002 {method 'executemany' of 'sqlite3.Cursor' objects}
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._nn.adaptive_avg_pool2d}
     5016    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      258    0.000    0.000    0.001    0.000 Z:\Python311\Lib\concurrent\futures\_base.py:328(__init__)
       66    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:102(acquire)
       60    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:1532(_get_index_dtype)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:438(status_printer)
      124    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\traitlets\traitlets.py:676(__get__)
      107    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        9    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\externals\array_api_compat\numpy\_aliases.py:89(asarray)
        2    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_matrix.py:44(__mul__)
        5    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:1180(_binopt)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:527(sum_duplicates)
      516    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:999(isfileobj)
        1    0.001    0.001    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:538(_sum_duplicates)
        2    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1265(close)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\optimize\_minpack_py.py:292(leastsq)
     2064    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\validation.py:734(check_array)
     3397    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\_param_validation.py:28(validate_parameter_constraints)
      273    0.001    0.000    0.001    0.000 {built-in method builtins.next}
       66    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:106(release)
       61    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:186(__format__)
       64    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:387(_matmul_vector)
      259    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\_core\fromnumeric.py:630(transpose)
        1    0.001    0.001    0.001    0.001 Z:\Python311\Lib\concurrent\futures\_base.py:147(__enter__)
       60    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_sputils.py:264(get_index_dtype)
      521    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      518    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 {built-in method scipy.optimize._minpack._lmdif}
        3    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:1226(tocsr)
        7    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:30(__init__)
       18    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\optimize\_minpack_py.py:514(_memoized_func)
      188    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\ipykernel\iostream.py:138(_event_pipe)
      530    0.001    0.000    0.001    0.000 Z:\Python311\Lib\threading.py:286(_is_owned)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\joblib\hashing.py:247(hash)
      268    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
      516    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:203(magic)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:491(multiply)
      742    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       16    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\optimize\_minpack_py.py:539(func_wrapped)
        2    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:415(_matmul_sparse)
      261    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:725(__add__)
       12    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:452(asformat)
       15    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
       61    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:745(__sub__)
       63    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\ipykernel\iostream.py:550(_is_master_process)
       61    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:153(__init__)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_dia.py:307(_matmul_sparse)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:883(_matmul_sparse)
       61    0.001    0.000    0.001    0.000 {built-in method now}
        7    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\_param_validation.py:368(is_satisfied_by)
      774    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      530    0.001    0.000    0.001    0.000 Z:\Python311\Lib\threading.py:280(_release_save)
       75    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
      261    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 Z:\Python311\Lib\concurrent\futures\_base.py:151(__exit__)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\base.py:463(_validate_params)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:594(_add_sparse)
       93    0.000    0.000    0.001    0.000 Z:\Python311\Lib\threading.py:1453(current_thread)
       30    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:166(check_format)
       56    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      637    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        9    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_coo.py:381(_coo_to_compressed)
      194    0.001    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
        2    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:257(_add_sparse)
        3    0.000    0.000    0.001    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_dia.py:436(tocoo)
       64    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_matvec}
