         2608862 function calls (2608772 primitive calls) in 7.468 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:1405(register)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\cProfile.py:121(__exit__)
        3    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\encodings\__init__.py:43(normalize_encoding)
       14    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:561(_format_args)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       93    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:239(__next)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:303(helper)
        1    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:172(parse_weights)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       26    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:175(append)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:371(_escape)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:145(__exit__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       39    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:163(__len__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       40    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       46    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       27    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\_ufunc_config.py:452(_no_nep50_warning)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:254(basename)
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        8    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
        9    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       47    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       65    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       49    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:23(to_uint8)
        6    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:214(_compile_charset)
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\enum.py:1585(_get_value)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:222(split)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       26    0.000    0.000    0.000    0.000 <frozen os>:779(check_str)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        5    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:195(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:912(__init__)
       58    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:255(match)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\bz2.py:26(BZ2File)
        4    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\enum.py:695(__call__)
        7    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:1614(_pop_action_class)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       20    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:292(tell)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:1025(argsort)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:108(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
